epoch,train_loss,train_accuracy,valid_loss,valid_accuracy
1,0.6046866716428236,0.7785454545454545,0.4255777705430985,0.8408
2,0.40781539927829397,0.8497454545454546,0.3933256257534027,0.8556
3,0.36277217425974934,0.8639454545454546,0.3987221202373505,0.858
4,0.33528858642578124,0.8749636363636364,0.36679017906188965,0.865
5,0.3156393114761873,0.8821818181818182,0.34430668011903764,0.872
6,0.29813102665380997,0.8886363636363637,0.35239179582595825,0.8704
7,0.28500628111145715,0.8917090909090909,0.367161581659317,0.872
8,0.27171687865257266,0.8981636363636364,0.34867375386953353,0.8746
9,0.26165912863991475,0.9014727272727273,0.3286384524941444,0.8784
10,0.2535484921596267,0.9050181818181818,0.33332523159980776,0.8822
11,0.2435959047480063,0.9088363636363637,0.32435598064661025,0.8832
12,0.23778565600893714,0.9100909090909091,0.343605311602354,0.8736
13,0.22949441913366317,0.9134,0.3290588323354721,0.8802
14,0.2230076712532477,0.9143272727272728,0.3343286674797535,0.8778
15,0.21584476214376364,0.9180545454545455,0.37236850432157514,0.8712
16,0.20930541354526172,0.9205090909090909,0.37063196387290953,0.8754
17,0.20344186799959704,0.9225272727272728,0.32652146644592284,0.8832
18,0.19798898133527149,0.9246727272727273,0.32120573558807375,0.8876
19,0.19173722755258735,0.9263636363636364,0.32237054413557054,0.891
20,0.18658539116165854,0.9285818181818182,0.34978233154416083,0.8852
